year,weight
1900,174.5263
1901,172.5963
1902,173.7568
1903,171.8966
1904,171.0349
1905,176.5657
1906,174.9368
1907,173.1294
1908,174.3243
1909,176.6364
1910,172.4324
1911,172.3925
1912,171.3756
1913,173.3182
1914,171.1593
1915,172.6954
1916,168.7449
1917,169.7143
1918,173.4459
1919,172.2268
1920,172.3284
1921,169.4017
1922,173.9051
1923,173.8784
1924,173.1148
1925,171.9397
1926,173.1667
1927,171.5370
1928,176.9286
1929,174.6881
1930,177.3163
1931,176.5294
1932,176.4409
1933,180.2286
1934,180.0796
1935,178.1652
1936,180.4455
1937,179.8909
1938,178.1560
1939,180.5591
1940,183.0096
1941,183.5333
1942,182.6000
1943,182.3356
1944,180.6078
1945,179.8306
1946,183.2991
1947,182.4898
1948,183.4035
1949,183.5217
1950,183.5238
1951,181.5000
1952,184.5175
1953,184.4800
1954,183.1322
1955,184.3796
1956,183.6292
1957,185.9167
1958,185.7477
1959,188.1209
1960,186.7115
1961,185.1250
1962,184.6735
1963,185.3636
1964,183.8385
1965,184.3162
1966,187.5340
1967,185.9304
1968,188.7685
1969,186.9290
1970,187.6429
1971,184.1416
1972,184.4590
1973,185.4046
1974,184.7778
1975,185.7462
1976,187.9717
1977,186.7233
1978,186.2297
1979,187.3659
1980,186.9379
1981,186.2397
1982,189.0141
1983,189.5000
1984,187.0758
1985,187.3360
1986,186.8537
1987,185.2387
1988,190.7660
1989,188.1800
1990,188.0828
1991,191.7708
1992,191.4815
1993,192.5567
1994,193.0439
1995,192.2915
1996,196.0515
1997,195.1167
1998,198.1154
1999,198.7429
2000,198.6373
2001,201.9397
2002,205.7892
2003,201.0824
2004,204.9567
2005,209.9369
2006,208.3032
2007,209.4550
2008,207.2059
2009,210.3676
2010,210.9360
2011,207.7364
2012,207.4175
2013,207.7870
2014,203.2137
